Department,Level,Home Fee,Overseas Fee
Accounting,Postgraduate,30360.0,30960.0
Anthropology,Postgraduate,15216.0,23520.0
Department not found,Postgraduate,23571.48979591837,26001.85714285714
Department not found,Undergraduate,9250.0,22430.0
Economic History,Postgraduate,15216.0,23520.0
Economics,Postgraduate,28080.0,28480.0
European Institute,Postgraduate,23520.0,23520.0
Finance,Postgraduate,34404.0,34704.0
Gender Studies,Postgraduate,15216.0,23520.0
Geography and Environment,Postgraduate,17979.0,24156.0
Government,Postgraduate,15216.0,23520.0
Health Policy,Postgraduate,20394.666666666668,25658.666666666668
International Development,Postgraduate,19368.0,23520.0
International History,Postgraduate,15216.0,23520.0
Management,Postgraduate,29332.8,29812.8
Mathematics,Postgraduate,22788.0,27240.0
Media and Communications,Postgraduate,23520.0,23520.0
Methodology,Postgraduate,22788.0,27240.0
Philosophy Logic and Scientific Method,Postgraduate,19368.0,23520.0
Psychological and Behavioural Science,Postgraduate,17820.0,23520.0
Social Policy,Postgraduate,15216.0,23520.0
Sociology,Postgraduate,18444.0,25328.0
