Department,Level,Fee Difference
Accounting,Postgraduate,552.0
Anthropology,Postgraduate,7656.0
Department not found,Postgraduate,2360.867924528302
Department not found,Undergraduate,10670.0
Economic History,Postgraduate,7656.0
Economics,Postgraduate,368.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,276.0
Gender Studies,Postgraduate,7656.0
Geography and Environment,Postgraduate,6562.285714285715
Government,Postgraduate,7656.0
Health Policy,Postgraduate,7320.0
International Development,Postgraduate,3828.0
International History,Postgraduate,7656.0
Management,Postgraduate,441.6
Mathematics,Postgraduate,4104.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,4104.0
Philosophy Logic and Scientific Method,Postgraduate,3828.0
Psychological and Behavioural Science,Postgraduate,5262.0
Social Policy,Postgraduate,7656.0
Sociology,Postgraduate,6360.0
